DATE,VALUE
1980-11-01,1594.5
1980-12-01,1597.5
1981-01-01,1603.2
1981-02-01,1616.2
1981-03-01,1636.1
1981-04-01,1659.6
1981-05-01,1663.4
1981-06-01,1669.4
1981-07-01,1681.4
1981-08-01,1695.2
1981-09-01,1706.5
1981-10-01,1720.5
1981-11-01,1735.2
1981-12-01,1752.4
1982-01-01,1763.6
1982-02-01,1773.6
1982-03-01,1785.8
1982-04-01,1804.7
1982-05-01,1813.0
1982-06-01,1825.0
1982-07-01,1830.4
1982-08-01,1845.9
1982-09-01,1859.6
1982-10-01,1868.5
1982-11-01,1884.7
1982-12-01,1903.3
1983-01-01,1953.8
1983-02-01,1996.1
1983-03-01,2013.8
1983-04-01,2025.5
1983-05-01,2040.8
1983-06-01,2052.5
1983-07-01,2065.0
1983-08-01,2072.1
1983-09-01,2079.7
1983-10-01,2095.9
1983-11-01,2105.3
1983-12-01,2118.9
1984-01-01,2136.2
1984-02-01,2146.2
1984-03-01,2171.9
1984-04-01,2193.5
1984-05-01,2205.7
1984-06-01,2217.8
1984-07-01,2227.8
1984-08-01,2232.1
1984-09-01,2242.4
1984-10-01,2258.2
1984-11-01,2279.3
1984-12-01,2303.6
1985-01-01,2333.7
1985-02-01,2348.2
1985-03-01,2361.2
1985-04-01,2372.5
1985-05-01,2384.5
1985-06-01,2406.3
1985-07-01,2427.9
1985-08-01,2438.9
1985-09-01,2449.5
1985-10-01,2464.8
1985-11-01,2473.8
1985-12-01,2490.2
1986-01-01,2504.0
1986-02-01,2512.3
1986-03-01,2535.3
1986-04-01,2560.7
1986-05-01,2583.9
1986-06-01,2608.9
1986-07-01,2632.7
1986-08-01,2649.7
1986-09-01,2670.0
1986-10-01,2689.0
1986-11-01,2701.0
1986-12-01,2725.4
1987-01-01,2748.6
1987-02-01,2743.1
1987-03-01,2751.5
1987-04-01,2766.7
1987-05-01,2768.0
1987-06-01,2773.5
1987-07-01,2779.3
1987-08-01,2784.7
1987-09-01,2793.6
1987-10-01,2812.3
1987-11-01,2819.8
1987-12-01,2827.3
1988-01-01,2844.4
1988-02-01,2871.1
1988-03-01,2895.0
1988-04-01,2914.1
1988-05-01,2925.5
1988-06-01,2944.0
1988-07-01,2953.7
1988-08-01,2961.1
1988-09-01,2963.8
1988-10-01,2969.9
1988-11-01,2986.2
1988-12-01,2991.1
1989-01-01,2995.6
1989-02-01,2989.4
1989-03-01,3001.2
1989-04-01,3006.1
1989-05-01,3008.4
1989-06-01,3024.4
1989-07-01,3051.4
1989-08-01,3072.4
1989-09-01,3086.3
1989-10-01,3112.5
1989-11-01,3133.9
1989-12-01,3150.9
1990-01-01,3166.5
1990-02-01,3181.2
1990-03-01,3190.9
1990-04-01,3202.3
1990-05-01,3201.9
1990-06-01,3212.6
1990-07-01,3225.4
1990-08-01,3241.9
1990-09-01,3253.8
1990-10-01,3260.9
1990-11-01,3264.1
1990-12-01,3271.1
1991-01-01,3287.2
1991-02-01,3303.4
1991-03-01,3319.0
1991-04-01,3332.3
1991-05-01,3343.0
1991-06-01,3349.0
1991-07-01,3356.6
1991-08-01,3354.9
1991-09-01,3354.4
1991-10-01,3359.6
1991-11-01,3363.7
1991-12-01,3371.5
1992-01-01,3378.1
1992-02-01,3397.8
1992-03-01,3402.6
1992-04-01,3398.8
1992-05-01,3397.8
1992-06-01,3393.1
1992-07-01,3392.8
1992-08-01,3396.7
1992-09-01,3408.7
1992-10-01,3420.5
1992-11-01,3425.6
1992-12-01,3423.6
1993-01-01,3418.0
1993-02-01,3412.8
1993-03-01,3411.0
1993-04-01,3407.6
1993-05-01,3433.6
1993-06-01,3441.1
1993-07-01,3439.3
1993-08-01,3443.1
1993-09-01,3449.7
1993-10-01,3452.1
1993-11-01,3466.9
1993-12-01,3473.6
1994-01-01,3471.5
1994-02-01,3473.3
1994-03-01,3478.5
1994-04-01,3479.7
1994-05-01,3490.5
1994-06-01,3479.5
1994-07-01,3485.7
1994-08-01,3486.0
1994-09-01,3485.6
1994-10-01,3482.6
1994-11-01,3486.0
1994-12-01,3486.5
1995-01-01,3488.8
1995-02-01,3488.0
1995-03-01,3489.7
1995-04-01,3492.3
1995-05-01,3518.1
1995-06-01,3545.2
1995-07-01,3562.9
1995-08-01,3585.6
1995-09-01,3598.0
1995-10-01,3609.1
1995-11-01,3616.9
1995-12-01,3624.2
1996-01-01,3642.6
1996-02-01,3656.0
1996-03-01,3681.9
1996-04-01,3693.6
1996-05-01,3704.7
1996-06-01,3715.9
1996-07-01,3732.1
1996-08-01,3741.0
1996-09-01,3747.8
1996-10-01,3764.5
1996-11-01,3780.8
1996-12-01,3802.9
1997-01-01,3819.2
1997-02-01,3830.1
1997-03-01,3843.8
1997-04-01,3862.2
1997-05-01,3872.4
1997-06-01,3887.7
1997-07-01,3909.7
1997-08-01,3933.8
1997-09-01,3958.5
1997-10-01,3974.9
1997-11-01,3992.9
