Date,Value
1907-02-01,12.51
1907-03-01,11.28
1907-04-01,11.49
1907-05-01,11.25
1907-06-01,11.04
1907-07-01,11.63
1907-08-01,10.91
1907-09-01,10.8
1907-10-01,9.76
1907-11-01,9.33
1907-12-01,9.95
1908-01-01,10.54
1908-02-01,10.15
1908-03-01,10.73
1908-04-01,11.49
1908-05-01,12.11
1908-06-01,12.32
1908-07-01,12.98
1908-08-01,13.54
1908-09-01,13.62
1908-10-01,14.02
1908-11-01,14.97
1908-12-01,15.57
1909-01-01,15.1
1909-02-01,14.43
1909-03-01,14.16
1909-04-01,14.56
1909-05-01,14.59
1909-06-01,14.63
1909-07-01,14.41
1909-08-01,14.54
1909-09-01,14.15
1909-10-01,14.01
1909-11-01,13.57
1909-12-01,13.55
1910-01-01,13.26
1910-02-01,12.79
1910-03-01,13.28
1910-04-01,12.96
1910-05-01,12.75
1910-06-01,12.13
1910-07-01,11.68
1910-08-01,11.96
1910-09-01,12.04
1910-10-01,12.59
1910-11-01,12.75
1910-12-01,12.4
1911-01-01,12.88
1911-02-01,13.28
1911-03-01,13.31
1911-04-01,13.65
1911-05-01,14.15
1911-06-01,14.65
1911-07-01,14.82
1911-08-01,14.33
1911-09-01,13.76
1911-10-01,14.3
1911-11-01,15.12
1911-12-01,15.44
1912-01-01,15.2
1912-02-01,14.82
1912-03-01,15.0
1912-04-01,15.22
1912-05-01,14.97
1912-06-01,14.74
1912-07-01,14.75
1912-08-01,14.86
1912-09-01,14.72
1912-10-01,14.47
1912-11-01,14.1
1912-12-01,13.4
1913-01-01,13.48
1913-02-01,13.0
1913-03-01,12.94
1913-04-01,12.93
1913-05-01,12.76
1913-06-01,12.12
1913-07-01,12.47
1913-08-01,13.0
1913-09-01,13.12
1913-10-01,12.91
1913-11-01,12.58
1913-12-01,12.76
1914-01-01,13.5
1914-02-01,13.9
1914-03-01,13.87
1914-04-01,13.76
1914-05-01,14.09
1914-06-01,14.02
1914-07-01,13.47
1914-08-01,13.71
1914-09-01,13.96
1914-10-01,14.22
1914-11-01,14.49
1914-12-01,14.13
1915-01-01,13.6
1915-02-01,12.72
1915-03-01,12.41
1915-04-01,12.72
1915-05-01,11.87
1915-06-01,11.49
1915-07-01,10.97
1915-08-01,10.99
1915-09-01,10.96
1915-10-01,11.15
1915-11-01,11.13
1915-12-01,10.77
1916-01-01,10.03
1916-02-01,9.29
1916-03-01,8.82
1916-04-01,8.25
1916-05-01,8.06
1916-06-01,7.74
1916-07-01,7.33
1916-08-01,7.1
1916-09-01,7.07
1916-10-01,7.03
1916-11-01,6.9
1916-12-01,6.41
1917-01-01,6.34
1917-02-01,6.06
1917-03-01,6.33
1917-04-01,6.32
1917-05-01,6.2
1917-06-01,6.41
1917-07-01,6.37
1917-08-01,6.27
1917-09-01,6.06
1917-10-01,5.82
1917-11-01,5.42
1917-12-01,5.31
1918-01-01,5.72
1918-02-01,6.04
1918-03-01,6.02
1918-04-01,6.11
1918-05-01,6.41
1918-06-01,6.54
1918-07-01,6.77
1918-08-01,6.95
1918-09-01,7.11
1918-10-01,7.56
1918-11-01,7.98
1918-12-01,7.98
1919-01-01,7.93
1919-02-01,8.04
1919-03-01,8.29
1919-04-01,8.65
1919-05-01,9.25
1919-06-01,9.59
1919-07-01,9.91
1919-08-01,9.34
1919-09-01,9.48
1919-10-01,10.07
1919-11-01,9.78
1919-12-01,9.59
1920-01-01,9.6
1920-02-01,8.9
1920-03-01,9.63
1920-04-01,9.66
1920-05-01,9.16
1920-06-01,9.1
1920-07-01,9.31
1920-08-01,9.05
1920-09-01,9.48
1920-10-01,9.61
1920-11-01,9.23
1920-12-01,8.51
1921-01-01,9.36
1921-02-01,9.81
1921-03-01,10.27
1921-04-01,10.97
1921-05-01,12.07
1921-06-01,11.91
1921-07-01,13.06
1921-08-01,14.02
1921-09-01,15.74
1921-10-01,17.63
1921-11-01,21.39
1921-12-01,25.21
1922-01-01,22.81
1922-02-01,20.72
1922-03-01,19.85
1922-04-01,19.55
1922-05-01,18.54
1922-06-01,17.24
1922-07-01,16.37
1922-08-01,15.77
1922-09-01,15.36
1922-10-01,14.94
1922-11-01,13.33
1922-12-01,12.72
1923-01-01,12.54
1923-02-01,12.54
1923-03-01,12.41
1923-04-01,11.52
1923-05-01,10.7
1923-06-01,9.93
1923-07-01,9.37
1923-08-01,9.2
1923-09-01,8.96
1923-10-01,8.63
1923-11-01,8.61
1923-12-01,8.72
1924-01-01,9.01
1924-02-01,9.14
1924-03-01,8.97
1924-04-01,8.85
1924-05-01,8.82
1924-06-01,8.99
1924-07-01,9.51
1924-08-01,9.83
1924-09-01,9.84
1924-10-01,9.71
1924-11-01,10.37
1924-12-01,10.92
1925-01-01,11.02
1925-02-01,10.89
1925-03-01,10.29
1925-04-01,9.88
1925-05-01,10.01
1925-06-01,9.91
1925-07-01,9.91
1925-08-01,9.87
1925-09-01,9.84
1925-10-01,9.91
1925-11-01,10.05
1925-12-01,9.97
1926-01-01,10.12
1926-02-01,10.14
1926-03-01,9.45
1926-04-01,9.18
1926-05-01,9.25
1926-06-01,9.69
1926-07-01,10.18
1926-08-01,10.58
1926-09-01,10.74
1926-10-01,10.5
1926-11-01,10.64
1926-12-01,10.88
1927-01-01,10.89
1927-02-01,11.2
1927-03-01,11.46
1927-04-01,11.84
1927-05-01,12.35
1927-06-01,12.62
1927-07-01,13.12
1927-08-01,13.94
1927-09-01,14.86
1927-10-01,14.76
1927-11-01,15.23
1927-12-01,15.73
1928-01-01,15.51
1928-02-01,14.93
1928-03-01,15.47
1928-04-01,16.17
1928-05-01,16.39
1928-06-01,15.22
1928-07-01,15.09
1928-08-01,15.33
1928-09-01,16.16
1928-10-01,16.12
1928-11-01,16.96
1928-12-01,16.78
1929-01-01,17.76
1929-02-01,17.6
1929-03-01,17.66
1929-04-01,17.32
1929-05-01,17.34
1929-06-01,17.43
1929-07-01,18.86
1929-08-01,19.67
1929-09-01,20.19
1929-10-01,17.83
1929-11-01,12.94
1929-12-01,13.29
1930-01-01,13.92
1930-02-01,15.38
1930-03-01,16.51
1930-04-01,18.19
1930-05-01,17.87
1930-06-01,16.68
1930-07-01,16.98
1930-08-01,17.62
1930-09-01,18.39
1930-10-01,16.59
1930-11-01,16.29
1930-12-01,15.99
1931-01-01,17.0
1931-02-01,18.9
1931-03-01,19.92
1931-04-01,18.66
1931-05-01,17.48
1931-06-01,17.56
1931-07-01,18.86
1931-08-01,19.04
1931-09-01,16.9
1931-10-01,15.3
1931-11-01,16.23
1931-12-01,13.84
1932-01-01,14.07
1932-02-01,14.19
1932-03-01,14.75
1932-04-01,11.63
1932-05-01,10.4
1932-06-01,9.35
1932-07-01,10.22
1932-08-01,15.69
1932-09-01,17.96
1932-10-01,16.18
1932-11-01,16.4
1932-12-01,16.63
1933-01-01,17.29
1933-02-01,14.88
1933-03-01,14.83
1933-04-01,16.4
1933-05-01,21.12
1933-06-01,24.16
1933-07-01,26.12
1933-08-01,24.81
1933-09-01,24.6
1933-10-01,21.7
1933-11-01,22.23
1933-12-01,22.66
1934-01-01,23.95
1934-02-01,25.16
1934-03-01,23.87
1934-04-01,23.74
1934-05-01,21.33
1934-06-01,21.15
1934-07-01,20.15
1934-08-01,19.36
1934-09-01,18.5
1934-10-01,18.65
1934-11-01,18.78
1934-12-01,18.9
1935-01-01,16.25
1935-02-01,13.82
1935-03-01,11.52
1935-04-01,11.89
1935-05-01,12.5
1935-06-01,12.49
1935-07-01,13.48
1935-08-01,14.58
1935-09-01,15.28
1935-10-01,15.68
1935-11-01,17.16
1935-12-01,17.16
1936-01-01,17.87
1936-02-01,18.65
1936-03-01,18.81
1936-04-01,18.15
1936-05-01,16.58
1936-06-01,16.69
1936-07-01,17.29
1936-08-01,17.25
1936-09-01,17.07
1936-10-01,17.41
1936-11-01,17.54
1936-12-01,16.73
1937-01-01,16.75
1937-02-01,16.77
1937-03-01,16.3
1937-04-01,15.05
1937-05-01,14.13
1937-06-01,13.37
1937-07-01,13.92
1937-08-01,13.95
1937-09-01,11.78
1937-10-01,10.32
1937-11-01,9.66
1937-12-01,9.75
1938-01-01,10.47
1938-02-01,10.82
1938-03-01,10.63
1938-04-01,10.99
1938-05-01,11.88
1938-06-01,13.26
1938-07-01,17.0
1938-08-01,18.37
1938-09-01,18.95
1938-10-01,20.73
1938-11-01,20.75
1938-12-01,19.83
1939-01-01,18.94
1939-02-01,17.97
1939-03-01,17.45
1939-04-01,14.84
1939-05-01,15.18
1939-06-01,15.04
1939-07-01,15.01
1939-08-01,14.61
1939-09-01,15.77
1939-10-01,15.36
1939-11-01,14.56
1939-12-01,13.74
1940-01-01,13.23
1940-02-01,12.73
1940-03-01,12.27
1940-04-01,12.15
1940-05-01,10.37
1940-06-01,9.3
1940-07-01,9.51
1940-08-01,9.53
1940-09-01,9.84
1940-10-01,10.03
1940-11-01,10.36
1940-12-01,10.03
1941-01-01,10.05
1941-02-01,9.33
1941-03-01,9.39
1941-04-01,9.01
1941-05-01,8.73
1941-06-01,8.95
1941-07-01,9.16
1941-08-01,8.8
1941-09-01,8.61
1941-10-01,8.33
1941-11-01,8.01
1941-12-01,7.55
1942-01-01,7.97
1942-02-01,8.01
1942-03-01,7.87
1942-04-01,7.69
1942-05-01,7.93
1942-06-01,8.5
1942-07-01,8.91
1942-08-01,9.04
1942-09-01,9.23
1942-10-01,9.61
1942-11-01,9.47
1942-12-01,9.24
1943-01-01,9.7
1943-02-01,10.08
1943-03-01,10.35
1943-04-01,10.59
1943-05-01,10.91
1943-06-01,11.0
1943-07-01,11.33
1943-08-01,10.77
1943-09-01,11.1
1943-10-01,11.53
1943-11-01,11.44
1943-12-01,12.21
1944-01-01,12.61
1944-02-01,12.66
1944-03-01,13.01
1944-04-01,12.78
1944-05-01,13.15
1944-06-01,13.77
1944-07-01,14.29
1944-08-01,14.08
1944-09-01,14.0
1944-10-01,14.19
1944-11-01,13.93
1944-12-01,14.09
1945-01-01,14.35
1945-02-01,14.67
1945-03-01,14.51
1945-04-01,14.72
1945-05-01,14.97
1945-06-01,15.09
1945-07-01,14.78
1945-08-01,14.98
1945-09-01,16.0
1945-10-01,16.84
1945-11-01,17.57
1945-12-01,18.05
1946-01-01,19.17
1946-02-01,19.64
1946-03-01,19.48
1946-04-01,21.2
1946-05-01,21.74
1946-06-01,22.12
1946-07-01,20.99
1946-08-01,20.34
1946-09-01,16.96
1946-10-01,15.53
1946-11-01,14.69
1946-12-01,14.27
1947-01-01,13.46
1947-02-01,13.17
1947-03-01,11.94
1947-04-01,10.98
1947-05-01,10.39
1947-06-01,10.31
1947-07-01,10.66
1947-08-01,10.24
1947-09-01,9.72
1947-10-01,9.84
1947-11-01,9.6
1947-12-01,9.34
1948-01-01,9.04
1948-02-01,8.39
1948-03-01,8.36
1948-04-01,8.75
1948-05-01,8.92
1948-06-01,9.04
1948-07-01,8.51
1948-08-01,7.97
1948-09-01,7.61
1948-10-01,7.57
1948-11-01,6.89
1948-12-01,6.63
1949-01-01,6.62
1949-02-01,6.29
1949-03-01,6.26
1949-04-01,6.23
1949-05-01,6.18
1949-06-01,5.82
1949-07-01,6.15
1949-08-01,6.4
1949-09-01,6.48
1949-10-01,6.7
1949-11-01,6.88
1949-12-01,7.13
1950-01-01,7.21
1950-02-01,7.32
1950-03-01,7.32
1950-04-01,7.34
1950-05-01,7.44
1950-06-01,7.38
1950-07-01,6.68
1950-08-01,6.93
1950-09-01,7.01
1950-10-01,7.2
1950-11-01,7.08
1950-12-01,6.95
1951-01-01,7.47
1951-02-01,7.77
1951-03-01,7.64
1951-04-01,7.86
1951-05-01,7.95
1951-06-01,7.92
1951-07-01,8.28
1951-08-01,8.87
1951-09-01,9.35
1951-10-01,9.38
1951-11-01,9.23
1951-12-01,9.59
1952-01-01,9.95
1952-02-01,9.85
1952-03-01,9.92
1952-04-01,9.97
1952-05-01,10.06
1952-06-01,10.42
1952-07-01,10.67
1952-08-01,10.71
1952-09-01,10.5
1952-10-01,10.24
1952-11-01,10.47
1952-12-01,10.85
1953-01-01,10.86
1953-02-01,10.69
1953-03-01,10.7
1953-04-01,10.04
1953-05-01,10.02
1953-06-01,9.54
1953-07-01,9.64
1953-08-01,9.6
1953-09-01,9.13
1953-10-01,9.44
1953-11-01,9.72
1953-12-01,9.89
1954-01-01,10.1
1954-02-01,10.24
1954-03-01,10.42
1954-04-01,10.75
1954-05-01,11.05
1954-06-01,11.05
1954-07-01,11.5
1954-08-01,11.68
1954-09-01,11.96
1954-10-01,12.01
1954-11-01,12.29
1954-12-01,12.62
1955-01-01,12.58
1955-02-01,12.69
1955-03-01,12.33
1955-04-01,12.38
1955-05-01,12.01
1955-06-01,12.35
1955-07-01,12.98
1955-08-01,12.59
1955-09-01,12.89
1955-10-01,12.03
1955-11-01,12.63
1955-12-01,12.53
1956-01-01,12.13
1956-02-01,12.11
1956-03-01,12.87
1956-04-01,13.13
1956-05-01,12.82
1956-06-01,12.85
1956-07-01,13.74
1956-08-01,13.81
1956-09-01,13.54
1956-10-01,13.44
1956-11-01,13.34
1956-12-01,13.62
1957-01-01,13.32
1957-02-01,12.79
1957-03-01,12.95
1957-04-01,13.21
1957-05-01,13.72
1957-06-01,13.9
1957-07-01,14.1
1957-08-01,13.29
1957-09-01,12.67
1957-10-01,11.99
1957-11-01,11.87
1957-12-01,11.97
1958-01-01,12.5
1958-02-01,12.81
1958-03-01,13.41
1958-04-01,13.79
1958-05-01,14.57
1958-06-01,15.27
1958-07-01,15.8
1958-08-01,16.45
1958-09-01,17.0
1958-10-01,17.69
1958-11-01,18.17
1958-12-01,18.51
1959-01-01,18.79
1959-02-01,18.02
1959-03-01,18.06
1959-04-01,17.79
1959-05-01,17.56
1959-06-01,16.9
1959-07-01,17.52
1959-08-01,17.37
1959-09-01,16.63
1959-10-01,16.67
1959-11-01,16.83
1959-12-01,17.42
1960-01-01,17.12
1960-02-01,16.45
1960-03-01,16.23
1960-04-01,16.64
1960-05-01,16.73
1960-06-01,17.56
1960-07-01,17.13
1960-08-01,17.28
1960-09-01,16.76
1960-10-01,16.43
1960-11-01,16.96
1960-12-01,17.37
1961-01-01,18.6
1961-02-01,19.74
1961-03-01,20.75
1961-04-01,21.44
1961-05-01,21.8
1961-06-01,21.66
1961-07-01,21.53
1961-08-01,22.3
1961-09-01,22.05
1961-10-01,21.94
1961-11-01,22.64
1961-12-01,22.49
1962-01-01,21.25
1962-02-01,21.21
1962-03-01,20.86
1962-04-01,20.01
1962-05-01,18.31
1962-06-01,16.03
1962-07-01,16.32
1962-08-01,16.67
1962-09-01,16.43
1962-10-01,15.69
1962-11-01,16.59
1962-12-01,17.07
1963-01-01,17.68
1963-02-01,17.82
1963-03-01,17.7
1963-04-01,18.34
1963-05-01,18.46
1963-06-01,18.26
1963-07-01,17.8
1963-08-01,18.11
1963-09-01,18.4
1963-10-01,18.35
1963-11-01,18.16
1963-12-01,18.45
1964-01-01,18.78
1964-02-01,18.74
1964-03-01,18.85
1964-04-01,18.9
1964-05-01,18.86
1964-06-01,18.53
1964-07-01,19.0
1964-08-01,18.55
1964-09-01,18.66
1964-10-01,18.86
1964-11-01,18.9
1964-12-01,18.45
1965-01-01,18.76
1965-02-01,18.7
1965-03-01,18.55
1965-04-01,18.6
1965-05-01,18.64
1965-06-01,17.57
1965-07-01,17.36
1965-08-01,17.54
1965-09-01,17.95
1965-10-01,18.1
1965-11-01,18.0
1965-12-01,17.67
1966-01-01,17.81
1966-02-01,17.52
1966-03-01,16.64
1966-04-01,17.03
1966-05-01,16.01
1966-06-01,15.76
1966-07-01,15.66
1966-08-01,14.69
1966-09-01,14.12
1966-10-01,13.97
1966-11-01,14.62
1966-12-01,14.65
1967-01-01,15.3
1967-02-01,15.94
1967-03-01,16.41
1967-04-01,16.81
1967-05-01,17.24
1967-06-01,17.15
1967-07-01,17.48
1967-08-01,17.79
1967-09-01,18.08
1967-10-01,18.02
1967-11-01,17.42
1967-12-01,17.88
1968-01-01,17.7
1968-02-01,16.81
1968-03-01,16.38
1968-04-01,17.46
1968-05-01,17.7
1968-06-01,18.04
1968-07-01,17.91
1968-08-01,17.43
1968-09-01,17.9
1968-10-01,18.24
1968-11-01,18.39
1968-12-01,18.49
1969-01-01,17.65
1969-02-01,17.5
1969-03-01,17.06
1969-04-01,17.38
1969-05-01,17.94
1969-06-01,16.98
1969-07-01,16.16
1969-08-01,16.04
1969-09-01,16.05
1969-10-01,16.33
1969-11-01,16.53
1969-12-01,15.76
1970-01-01,15.76
1970-02-01,15.35
1970-03-01,15.75
1970-04-01,15.38
1970-05-01,13.68
1970-06-01,13.69
1970-07-01,13.84
1970-08-01,14.4
1970-09-01,15.41
1970-10-01,15.98
1970-11-01,16.18
1970-12-01,17.55
1971-01-01,18.12
1971-02-01,18.71
1971-03-01,19.08
1971-04-01,19.62
1971-05-01,19.21
1971-06-01,18.74
1971-07-01,18.47
1971-08-01,18.04
1971-09-01,18.31
1971-10-01,17.63
1971-11-01,16.54
1971-12-01,17.4
1972-01-01,18.0
1972-02-01,18.23
1972-03-01,18.54
1972-04-01,18.57
1972-05-01,18.19
1972-06-01,18.09
1972-07-01,17.78
1972-08-01,18.26
1972-09-01,17.82
1972-10-01,17.59
1972-11-01,18.18
1972-12-01,18.3
1973-01-01,18.08
1973-02-01,17.12
1973-03-01,16.53
1973-04-01,15.89
1973-05-01,15.12
1973-06-01,14.5
1973-07-01,14.34
1973-08-01,13.77
1973-09-01,13.73
1973-10-01,13.99
1973-11-01,12.75
1973-12-01,11.62
1974-01-01,11.68
1974-02-01,11.27
1974-03-01,11.66
1974-04-01,10.89
1974-05-01,10.41
1974-06-01,10.27
1974-07-01,8.95
1974-08-01,8.46
1974-09-01,7.48
1974-10-01,7.68
1974-11-01,8.01
1974-12-01,7.54
1975-01-01,8.3
1975-02-01,9.31
1975-03-01,9.91
1975-04-01,10.22
1975-05-01,11.1
1975-06-01,11.61
1975-07-01,11.72
1975-08-01,10.95
1975-09-01,10.91
1975-10-01,11.31
1975-11-01,11.42
1975-12-01,11.14
1976-01-01,11.83
1976-02-01,11.93
1976-03-01,11.67
1976-04-01,11.5
1976-05-01,11.18
1976-06-01,11.01
1976-07-01,11.14
1976-08-01,10.93
1976-09-01,11.05
1976-10-01,10.54
1976-11-01,10.34
